# generated: 2026-03-15 21:43:38 CDT | host: toughbook

Module                  Size  Used by
xt_conntrack           16384  1
xt_MASQUERADE          20480  1
bridge                319488  0
stp                    16384  1 bridge
llc                    16384  2 bridge,stp
xfrm_user              53248  1
xfrm_algo              16384  1 xfrm_user
xt_set                 16384  0
ip_set                 61440  1 xt_set
nft_chain_nat          16384  5
nf_nat                 57344  2 nft_chain_nat,xt_MASQUERADE
nf_conntrack          188416  3 xt_conntrack,nf_nat,xt_MASQUERADE
nf_defrag_ipv6         24576  1 nf_conntrack
nf_defrag_ipv4         16384  1 nf_conntrack
xt_addrtype            16384  4
nft_compat             20480  6
nf_tables             303104  57 nft_compat,nft_chain_nat
libcrc32c              16384  3 nf_conntrack,nf_nat,nf_tables
nfnetlink              20480  4 nft_compat,nf_tables,ip_set
overlay               163840  0
tcp_diag               16384  0
udp_diag               16384  0
inet_diag              24576  2 tcp_diag,udp_diag
ccm                    20480  6
intel_powerclamp       20480  0
coretemp               20480  0
bnep                   28672  2
kvm_intel             380928  0
kvm                  1146880  1 kvm_intel
btusb                  69632  0
irqbypass              16384  1 kvm
btrtl                  28672  1 btusb
btbcm                  24576  1 btusb
btintel                45056  1 btusb
ghash_clmulni_intel    16384  0
btmtk                  16384  1 btusb
sha256_ssse3           32768  0
sha1_ssse3             32768  0
iwldvm                167936  0
bluetooth             962560  23 btrtl,btmtk,btintel,btbcm,bnep,btusb
snd_hda_codec_hdmi     81920  1
lz4                    16384  4
lz4_compress           24576  1 lz4
mac80211             1175552  1 iwldvm
snd_hda_codec_conexant    32768  1
snd_hda_codec_generic    98304  1 snd_hda_codec_conexant
ledtrig_audio          16384  1 snd_hda_codec_generic
aesni_intel           393216  4
zram                   40960  2
msr                    16384  0
zsmalloc               28672  1 zram
snd_hda_intel          61440  4
libarc4                16384  1 mac80211
snd_intel_dspcfg       36864  1 snd_hda_intel
snd_intel_sdw_acpi     20480  1 snd_intel_dspcfg
snd_hda_codec         184320  4 snd_hda_codec_generic,snd_hda_codec_conexant,snd_hda_codec_hdmi,snd_hda_intel
crypto_simd            16384  1 aesni_intel
jitterentropy_rng      16384  1
cryptd                 28672  2 crypto_simd,ghash_clmulni_intel
iwlwifi               360448  1 iwldvm
uinput                 20480  2
sha512_ssse3           49152  1
